id;nome;email;data_nascimento;rm;foto;foto_content_type;status
1;bandwidth 1080p;Marc.Witting0@gmail.com;2021-06-15;97567;../fake-data/blob/hipster.png;image/png;CONCLUIDO
2;Croatian;Skye.Jast34@yahoo.com;2021-06-15;58257;../fake-data/blob/hipster.png;image/png;SUSPENSO
3;grey;Monserrate.Kiehn@gmail.com;2021-06-15;88424;../fake-data/blob/hipster.png;image/png;SUSPENSO
4;orchid Checking New;Elmer_Bayer60@hotmail.com;2021-06-15;8954;../fake-data/blob/hipster.png;image/png;CONCLUIDO
5;parse Personal green;Garnet.Homenick@hotmail.com;2021-06-15;99876;../fake-data/blob/hipster.png;image/png;SUSPENSO
6;action-items;Carolanne.Harris@hotmail.com;2021-06-15;49663;../fake-data/blob/hipster.png;image/png;SUSPENSO
7;e-business encoding Cambridgeshire;Itzel.Rowe38@yahoo.com;2021-06-15;49155;../fake-data/blob/hipster.png;image/png;PREATIVO
8;invoice Illinois;Jessie_Paucek@gmail.com;2021-06-14;59375;../fake-data/blob/hipster.png;image/png;ATIVO
9;Berkshire benchmark;Sylvia.Ullrich1@hotmail.com;2021-06-15;49362;../fake-data/blob/hipster.png;image/png;SUSPENSO
10;Ergonomic Creative virtual;Bernice_Keeling66@yahoo.com;2021-06-14;71945;../fake-data/blob/hipster.png;image/png;ATIVO
